いただく,頂く
うち,内
えない,得ない
おく,置く
がける,掛ける
くらい,位
ごと,毎
こと,事
ころ,ごろ,頃
歳,才
たち,達
たび,度
ため,為
という,と言う,と云う,と謂う
ところ,どころ,所
にくい,難い
ふうに,風に
ほう,方
ほしい,欲しい
ほど,程
みる,見る
やすい,易い
わけ,訳
アーキテクチャ,アーキテクチャー
あいさつ,挨拶
間,あいだ
アイデア,アイディア
あいまい,曖昧
会う,逢う
あえて,敢えて
あきれる,呆れる
足をすくう,足元をすくう
預かる,あずかる,預る,与る
預ける,あずける
アセンブラ,アセンブラー
Apple,APPLE,apple,アップル
あてはまる,当てはまる
あてる,充てる
あとで,後で
あなた,貴方
あふれる,溢れる
Amazon,AMAZON,amazon,アマゾン
あまり,余り
あらかじめ,予め
あらためて,改めて
ありがたい,有り難い
ありがとう,有難う
ありさま,有様
ある,有る
ある,在る,或る
あわせて,併せて
いかが,如何
生かす,活かす
いかに,如何に
行き詰まる,煮詰まる
いくら,幾ら
いす,椅子,イス
いたします,致します
一応,いちおう,一往
一応,いちおう
一番,いちばん,1番
いつ,いつか,いつも,何時,何時か,何時も
一緒,いっしょ,一所
いっそう,一層
いったい,一体
いったん,一旦
いっぱい,一杯
いまだ,未だ
いろいろ,色々
いわゆる,所謂
インターフェース,インターフェイス
インタプリタ,インタプリター,インタープリター,インタープリタ
win-win,ウィンウィン,winwin,Win-Win,WinWin
Web,WEB,ウェブ
ウォーターフォール,ウォータフォール
受け入れる,受け容れる
受付,受け付け,受付け
うしろ,後ろ
うなずく,頷く,肯く,うなづく
うまく,うまい,上手く,上手い
生まれ,生れ
うれしい,嬉しい
HTML,html,Html
SQL,sql,Sql
エディタ,エディター
エミュレータ,エミュレーター
おこなう,行う
おそらく,恐らく
お問い合わせ,お問合せ,お問合わせ,お問い合せ
おのずと,自ずと
OS,オペレーティングシステム
汚名返上,汚名挽回
おもしろい,面白い
および,及び
御社,貴社
カウンタ,カウンター
かかわらず,関わらず,拘わらず,係わらず
カ月,ヶ月,か月,ヵ月,ケ月
かつて,嘗て
かなう,叶う
かわいい,可愛い
キャプチャ,キャプチャー
CUI,キャラクターユーザーインターフェース,キャラクターユーザーインターフェイス
Google,GOOGLE,google,グーグル
ください,下さい
GUI,グラフィカルユーザーインターフェース,グラフィカルユーザーインターフェイス
クロージャ,クロージャー
けた,桁
Go言語,GO言語
ここ,此処
ございます,御座います
ことごとく,尽く
子ども,こども,子供
コンストラクタ,コンストラクター
コンパイラ,コンパイラー
コンピュータ,コンピューター
サーバ,サーバー
さきほど,先程,先ほど
ささい,些細
さっそく,早速
さまざまな,様々
さらに,更に
幸せ,仕合わせ,しあわせ
CSS,css,Css
しかる,叱る
しだい,次第
しばらく,暫く
